BIOME_NAME,District,Is Monitor,Name,State,Year Spp,calculated,nci
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5724,ANDHRA_PRADESH,2020_Cashew,0.550608751,151.1088562
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5733,ANDHRA_PRADESH,2020_Cashew,0.1977608235,391.7796631
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5824,ANDHRA_PRADESH,2020_Cashew,0.5253820931,140.1088562
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5842,ANDHRA_PRADESH,2020_Cashew,0.0577531824,36.11298752
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5853,ANDHRA_PRADESH,2020_Cashew,0.2518802964,201.1129913
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5903,ANDHRA_PRADESH,2020_Cashew,0.9763672299,158.4421844
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5907,ANDHRA_PRADESH,2020_Cashew,1.134914746,175.4463043
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5928,ANDHRA_PRADESH,2020_Cashew,1.083085237,212.9581299
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6045,ANDHRA_PRADESH,2020_Cashew,0.3254855577,311.1130066
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6089,ANDHRA_PRADESH,2020_Cashew,0.1827374563,149.7796631
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6197,ANDHRA_PRADESH,2020_Cashew,0.401997651,241.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6287,ANDHRA_PRADESH,2020_Cashew,0.1756127694,333.1130066
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2764,ANDHRA_PRADESH,2020_Cashew,0.2019663128,169.7986755
